"id","title","author","genre","year","available"
"44ae8400-e29b-41d4-a716-446655440001","The Great Gatsby","F. Scott Fitzgerald","Fiction","1925","true"
"44ae8400-e29b-41d4-a716-446655440002","To Kill a Mockingbird","Harper Lee","Fiction","1960","false"
"44ae8400-e29b-41d4-a716-446655440004","Pride and Prejudice","Jane Austen","Romance","1813","true"
"44ae8400-e29b-41d4-a716-446655440005","The Hobbit","J.R.R. Tolkien","Fantasy","1937","false"
"44ae8400-e29b-41d4-a716-446655440006","The Catcher in the Rye","J.D. Salinger","Fiction","1951","true"
"44ae8400-e29b-41d4-a716-446655440007","Lord of the Flies","William Golding","Fiction","1954","true"
"44ae8400-e29b-41d4-a716-446655440008","Animal Farm","George Orwell","Political Satire","1945","true"
"44ae8400-e29b-41d4-a716-446655440009","The Da Vinci Code","Dan Brown","Mystery","2003","false"
"44ae8400-e29b-41d4-a716-446655440010","Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy","1997","true"
"44ae8400-e29b-41d4-a716-446655440011","The Lord of the Rings","J.R.R. Tolkien","Fantasy","1954","true"
"44ae8400-e29b-41d4-a716-446655440012","Brave New World","Aldous Huxley","Science Fiction","1932","true"
"44ae8400-e29b-41d4-a716-446655440013","The Chronicles of Narnia","C.S. Lewis","Fantasy","1950","false"
"44ae8400-e29b-41d4-a716-446655440014","The Alchemist","Paulo Coelho","Fiction","1988","true"
"44ae8400-e29b-41d4-a716-446655440015","Dune","Frank Herbert","Science Fiction","1965","true"
